PersonId,MetricDate,Copilot Chat (work) in Word prompts submitted,Copilot Chat (work) in PowerPoint prompts submitted,Copilot Chat (work) in Excel prompts submitted,Copilot Chat (web) in Word prompts submitted,Copilot Chat (web) in PowerPoint prompts submitted,Copilot Chat (web) in Excel prompts submitted,Meetings recapped by Copilot,Meeting hours recapped by Copilot,Copilot Chat (Web) prompts submitted in Outlook,Copilot Chat (Web) prompts submitted in Teams,Copilot Enabled User,Copilot Teams Enabled User,Copilot Productivity Apps Enabled User,Copilot Chat Enabled User,Days of active Copilot usage in Word,Days of active Copilot usage in Teams,Days of active Copilot usage in Powerpoint,Days of active Copilot usage in Outlook,Days of active Copilot usage in OneNote,Days of active Copilot usage in Loop,Days of active Copilot usage in Excel,Days of active Copilot chat (work) usage,Days of active Copilot Chat (web) usage,Copilot enabled days for Teams,Copilot enabled days for Productivity App,Copilot enabled days for Power Platform connectors,Copilot enabled days for Intelligent Search,Copilot Chat (work) prompts submitted in Teams,Copilot Chat (work) prompts submitted in Outlook,Copilot chat (work) enabled days,Copilot assisted hours,Copilot actions taken in Word,Copilot actions taken in Teams,Copilot actions taken in Powerpoint,Copilot actions taken in Excel,Copilot actions taken in Outlook,Copilot actions taken in Copilot chat (work),Intelligent recap actions taken,Copilot Chat (web) prompts submitted,Visualize as table actions taken using Copilot in Word,Chat (Copilot in Word) prompts submitted,Add content to presentation actions taken,Organize presentation actions taken,Chat (Copilot in PowerPoint) prompts submitted,Chat (Copilot in Excel) prompts submitted,Total Copilot actions taken,Total Copilot active days,Total Copilot enabled days,Summarize meeting actions taken using Copilot in Teams,Total meetings summarized by Copilot in Teams,Meeting hours summarized by Copilot in Teams,Summarize chat actions taken using Copilot in Teams,Compose chat message actions taken using Copilot in Teams,Total chat conversations summarized by Copilot in Teams,Attended meetings,Meetings,Meeting hours,Uninterrupted hours,Small meeting hours,Multitasking hours,Conflicting meeting hours,Chats sent,Total emails sent using Copilot in Outlook,Summarize email thread actions taken using Copilot in Outlook,Email coaching actions taken using Copilot,Generate email draft actions taken using Copilot in Outlook,Emails sent,Summarize Word document actions taken using Copilot in Word,Summarize presentation actions taken using Copilot in PowerPoint,Create presentation actions taken using Copilot,Rewrite text actions taken using Copilot in Word,Draft Word document actions taken using Copilot,Excel analysis actions taken using Copilot,Create Excel formula actions taken using Copilot,Excel formatting actions taken using Copilot,Copilot chat (work) prompts submitted,Organization,CountryOrRegion,Domain,WeekendDays,IsActive
39fb56a5-7258-4e59-87ec-39088bf1070b,11/23/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0,9,5,10,9,0,0,7,9.295989,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,31.930699,12.263429,0.621673,5.253302,0,0.281952,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Northforge Operations Studio,Terralis,northforge.terralis.example,"[FRIDAY, SATURDAY]",TRUE
7d91c547-424c-4546-aef3-77b4e560c259,7/6/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,11,11,8,11,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.876848,11.630987,4.580336,0,3.663207,3.03214,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northforge Operations Studio,Terralis,northforge.terralis.example,"[SUNDAY, SATURDAY]",TRUE
2375cbd4-554c-4ba3-8a2d-b16379d14a52,3/2/25,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,5,6,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,5.578331,7.157246,4.101158,3.549943,1.048638,1.456673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Pinecrest Innovation Yard,Arcteris,pinecrest.arcteris.example,"[SATURDAY, SUNDAY]",TRUE
e9e96c2f-cebe-4408-8977-0631e7f446c5,8/17/25,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,10,8,10,8,0,0,10,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,17,0,8,0,0,0,0,0,0,14.076138,12.118402,0,49.453056,0,0,0,14,0,0,0,0,17,0,0,0,0,0,0,0,0,0,Sunpeak Delivery Base,Kestrelia,sunpeak.kestrelia.example,"[FRIDAY, SATURDAY]",TRUE
73478914-b96a-4081-bb38-ee4340c3332d,1/5/25,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,46,0,5,0,0,0,0,0,0,0,0,0,16.577552,0.869551,0,0,17,0,0,0,0,28,0,0,0,0,0,0,0,0,0,Northforge Operations Studio,Terralis,northforge.terralis.example,"[FRIDAY, SATURDAY]",TRUE
ac8d7b81-3d79-45bd-8abd-2bfb111bbf17,3/2/25,0,0,0,0,0,0,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,6,9,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,3.781034,0,46.896894,4.784902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Skybridge Productivity Center,Luminara,skybridge.luminara.example,"[SATURDAY, SUNDAY]",FALSE
66027966-e11d-4356-987e-369c368ebdfe,6/22/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,7,6,6,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,37,3,9,0,0,0,0,0,0,0,0,5.668449,22.080456,4.006016,0,0,18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,Pinecrest Innovation Yard,Arcteris,pinecrest.arcteris.example,"[FRIDAY, SATURDAY]",TRUE
52f868a2-e668-4c69-aba9-37b5b3017449,9/21/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,9,10,8,10,0,0,0,1.336799,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6.3376,0.75831,19.842423,0,1.374968,5.313384,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,47,Harborline Collaboration Hub,Vestmark,harborline.vestmark.example,"[SATURDAY, SUNDAY]",TRUE
c24124e3-493b-4537-99d8-12e2f84c4bbb,6/29/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,6,7,7,10,24,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,0,0,0,0,0,0,3.852892,5.076054,0,0,3.230983,0.320235,3.138495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Maplecore Experience Lab,Aventine,maplecore.aventine.example,"[FRIDAY, SATURDAY]",TRUE
c056bc65-f359-4966-b115-8c027dcc4f67,11/9/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,6,6,11,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,6.745915,32.535961,42.433669,46.857679,0,0.117295,1.22165,100,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Mariner Data House,Solstrand,mariner.solstrand.example,"[SATURDAY, SUNDAY]",FALSE
794de8b9-ae31-46e3-8b22-3d26e7d83cb4,6/22/25,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,1,0,9,7,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,2.791932,6.639666,0.829694,0,1.893141,0,0,206,0,0,0,0,9,0,0,0,0,0,0,0,0,0,Skybridge Productivity Center,Luminara,skybridge.luminara.example,"[SUNDAY, SATURDAY]",TRUE
4c3646aa-0a00-4373-be22-49dfeb811d69,11/23/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,9,7,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,0,0,0,0,0,0,0.969,0,4.832581,2.747488,4.255177,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Mariner Data House,Solstrand,mariner.solstrand.example,"[SUNDAY, SATURDAY]",TRUE
41a32d52-157f-4481-8cd7-46bf6d75f820,10/12/25,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,6,0,0,0,0,0,0,3,9,7,0,8,0,0,7,0.076695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8.051993,17.542903,0.879159,9.561973,1.481979,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,3,Pinecrest Innovation Yard,Arcteris,pinecrest.arcteris.example,"[SATURDAY, SUNDAY]",TRUE
a9973344-724e-47e5-8bf5-aea7669e710b,12/29/24,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,9,6,7,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,2.060618,45.096611,6.343105,0.798066,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,Pinecrest Innovation Yard,Arcteris,pinecrest.arcteris.example,"[SUNDAY, SATURDAY]",TRUE
bceb1838-45f2-4040-b1af-faa7abad89ea,3/9/25,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,0,5,11,9,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4.943607,0,0,22.160401,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,39,Skybridge Productivity Center,Luminara,skybridge.luminara.example,"[FRIDAY, SATURDAY]",TRUE
cc7f740e-56c6-44e2-8d8c-ffa6b3cad244,11/16/25,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,6,9,0,8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,23.339679,6.319624,43.395098,18.099582,0.069436,0,50,0,0,0,0,12,0,0,0,0,0,0,0,0,1,Bluehaven Service Arena,Driftland,bluehaven.driftland.example,"[SATURDAY, SUNDAY]",TRUE
188671fd-6b0d-48f9-9cfc-fdc1797f81a6,1/18/26,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,0,0,0,3,0,0,0,9,0,7,7,0,0,6,0.310609,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,6.707704,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,Mariner Data House,Solstrand,mariner.solstrand.example,"[SATURDAY, SUNDAY]",TRUE
98c56885-5bf3-4c8a-9dc7-8dfb547ef296,12/28/25,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,8,6,0,8,0,0,6,1.195407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3.074252,0,2.327011,0,0,0.534818,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,Oakfield Advisory Works,Mirelia,oakfield.mirelia.example,"[FRIDAY, SATURDAY]",TRUE
c0fdd6a2-fee6-46a9-bf37-89288481ba99,1/26/25,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0.504399,0,12,0,0,0,54,0,0,0,0,0,0,0,0,10,3,9,0,0,0,0,0,0,0.966737,0,5.469588,31.240454,0.550721,0.453999,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northforge Operations Studio,Terralis,northforge.terralis.example,"[SATURDAY, SUNDAY]",TRUE
dbbdca01-f609-4b2c-b66e-d36e5d7fabc9,7/20/25,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,4,1,9,6,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7.720709,14.462359,0,0.009453,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Granitebay Productivity Loft,Cressida,granitebay.cressida.example,"[SUNDAY, SATURDAY]",TRUE
ed970e29-bb59-4cec-abb4-4807a82f89d5,8/3/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,9,5,5,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,15.027433,1.138887,7.06383,0,8.41134,0.092797,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Northforge Operations Studio,Terralis,northforge.terralis.example,"[SUNDAY, SATURDAY]",TRUE
06c8a9ee-bae5-434c-9a48-e38bfbbf35d8,1/12/25,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,6,7,8,0,0,7,0.07377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.74542,0,0,33.499393,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mariner Data House,Solstrand,mariner.solstrand.example,"[SUNDAY, SATURDAY]",TRUE
e48e7e86-4e65-48e5-9f81-35c69e50ef9a,12/7/25,0,0,0,0,0,0,0,2.130071,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,9,7,10,9,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,9,4,9,0,0,0,0,0,0,7.860222,17.031935,3.209566,0,6.23009,0,0,280,0,0,0,0,18,0,0,0,0,0,0,0,0,0,Aurora Point Campus,Nordhaven,aurora.nordcloud.example,"[FRIDAY, SATURDAY]",TRUE
16857c46-10e9-4648-921f-d3f88d31fd75,5/4/25,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,6,9,10,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,3,7,0,0,0,0,0,0,0,0,25.274051,45.059514,1.229973,0,0,144,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Oakfield Advisory Works,Mirelia,oakfield.mirelia.example,"[SUNDAY, SATURDAY]",FALSE
93826c74-256f-4b4f-9933-198b072bdbb6,11/9/25,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,9,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,21.728903,0,9.146133,4.412884,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northforge Operations Studio,Terralis,northforge.terralis.example,"[SATURDAY, SUNDAY]",TRUE
17ffd8cb-943f-457e-84ae-216af92fa9bd,12/28/25,0,0,0,0,0,0,0,49.801166,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,11,11,5,11,10,0,9,1.113783,0,0,0,0,0,96,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,14.051801,12.431859,19.426849,0,0.102208,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,Mariner Data House,Solstrand,mariner.solstrand.example,"[FRIDAY, SATURDAY]",TRUE
